site,crit,browser,lt,fp,fcp,e
157,ietf,0,firefox,637,1794.4,516,9.27234589
158,ietf,0,firefox,675,610.1,609,6.178880131
159,ietf,0,firefox,623,888.7,509,10.140744041
160,ietf,0,firefox,619,822.1,549,8.361093561
161,xnxx,0,chrome,2019,1563.4,1563.4,19.213072277
162,xnxx,0,chrome,2093,1681.6,1681.6,22.0632494495
163,xnxx,0,chrome,2123,1665.6,1665.6,27.151636984
164,xnxx,0,chrome,2018,1560.3,1560.3,5.5532428135
165,xnxx,0,chrome,2095,1671.4,1671.4,29.248899688
166,xnxx,0,chrome,3246,2219.5,2219.5,21.2953507945
167,xnxx,0,chrome,3318,2272.5,2272.5,19.1035063035
168,xnxx,0,chrome,1987,1580,1580,13.025738546
169,xnxx,0,chrome,1972,1499,1499,7.2852366755
170,xnxx,0,chrome,2131,1702.8,1702.8,21.152862046
171,xnxx,0,firefox,1692,419.3,1601,28.102293464
172,xnxx,0,firefox,1586,2084.7,1504,95.473542885
173,xnxx,0,firefox,1772,900.3,1664,41.1645784895
174,xnxx,0,firefox,1653,2547.4,1567,69.92422764
175,xnxx,0,firefox,1656,1490.3,1584,69.0575418265
176,xnxx,0,firefox,1723,805.3,1632,81.9558896955
177,xnxx,0,firefox,1700,740.1,1606,103.887608041
178,xnxx,0,firefox,1662,975.6,1566,96.2686446775
179,xnxx,0,firefox,1884,1187.9,1793,116.8338534765
180,xnxx,0,firefox,1851,1479.6,1784,71.4861324625
181,playstation,1,chrome,3470,2490.8,2490.8,20.9451233215
182,playstation,1,chrome,3638,2552.4,2552.4,20.2380439795
183,playstation,1,chrome,3580,2519.8,2519.8,17.4424715385
184,playstation,1,chrome,3576,2818.8,2818.8,18.7061773915
185,playstation,1,chrome,3555,2551.2,2551.2,18.6181301425
186,playstation,1,chrome,3618,2538.1,2538.1,17.33827994
187,playstation,1,chrome,3398,2522.5,2522.5,20.1472537995
188,playstation,1,chrome,3478,2607.1,2607.1,17.8079556415
189,playstation,1,chrome,3445,2501.2,2501.2,16.847284321
190,playstation,1,chrome,3458,2425.4,2425.4,18.423423504
191,playstation,1,firefox,4740,2536.2,4571,32.166010843
192,playstation,1,firefox,3622,902,3486,37.5403035455
193,playstation,1,firefox,3860,2547.4,3655,42.1973018055
194,playstation,1,firefox,5766,1367.7,5599,27.441469106
195,playstation,1,firefox,4444,1367.7,4317,35.9050787145
196,playstation,1,firefox,3655,1261.9,3523,28.4851332095
197,playstation,1,firefox,3727,786.1,3568,24.913415913
198,playstation,1,firefox,3861,4875.4,3672,37.645782554
199,playstation,1,firefox,3734,1092.5,3566,39.3511147685
200,playstation,1,firefox,3599,959.4,3448,35.947608992
201,ed,0,chrome,819,1082.7,1082.7,4.4631428505
202,ed,0,chrome,835,1093.2,1093.2,4.1241126295
203,ed,0,chrome,830,1076.7,1076.7,5.4027830185
204,ed,0,chrome,1727,2004.2,2004.2,5.7666793235
205,ed,0,chrome,866,1011.8,1011.8,4.2639900525
206,ed,0,chrome,868,1019.2,1019.2,4.312037857
207,ed,0,chrome,806,958.8,958.8,4.5948642725
208,ed,0,chrome,828,975.6,975.6,4.986329343
209,ed,0,chrome,817,1074.1,1074.1,2.6047084735
210,ed,0,chrome,805,959.4,959.4,3.277317779
211,ed,0,firefox,794,516,781,14.2715413595
212,ed,0,firefox,759,2536.2,744,11.1362803325
213,ed,0,firefox,806,769.9,669,5.935223793
214,ed,0,firefox,731,2280,721,10.8128484315
215,ed,0,firefox,756,1733.4,633,11.5807147785
216,ed,0,firefox,793,766.3,780,9.6118673975
217,ed,0,firefox,750,4837.7,736,11.1879327315
218,ed,0,firefox,931,1049,917,9.772882093
219,ed,0,firefox,819,1422.5,676,9.5851787035
220,ed,0,firefox,801,670.3,663,7.604139522
221,deviantart,1,chrome,3213,757.6,757.6,7.003469694
222,deviantart,1,chrome,3169,843.9,843.9,9.480123145
223,deviantart,1,chrome,3200,763.6,763.6,11.7937063825
224,deviantart,1,chrome,3135,769.9,769.9,8.5936416075
225,deviantart,1,chrome,3185,777.7,777.7,8.3147958815
226,deviantart,1,chrome,3189,791.1,791.1,12.7473841405
227,deviantart,1,chrome,4832,1515.4,1515.4,6.2787352255
228,deviantart,1,chrome,3203,876.4,876.4,7.314910241
229,deviantart,1,chrome,3130,745.1,745.1,7.115395164
230,deviantart,1,chrome,3201,708.7,708.7,9.527587546
231,deviantart,1,firefox,3963,629.6,335,21.0797306395
232,deviantart,1,firefox,3887,1163,337,8.8721884805
233,deviantart,1,firefox,5784,945.6,1536,9.0731109675
234,deviantart,1,firefox,4871,933.1,278,8.6703216665
235,deviantart,1,firefox,4857,2552.2,484,10.1571692425
236,deviantart,1,firefox,5946,682.2,704,21.122619838
237,deviantart,1,firefox,3862,1414.6,785,13.457585902
238,deviantart,1,firefox,3996,825,622,8.103068273
239,deviantart,1,firefox,4880,550.1,475,17.454351669
240,deviantart,1,firefox,4791,1059.5,1735,11.378491505
241,csdn,0,chrome,1313,698.3,698.3,3.6318646855
242,csdn,0,chrome,1414,806.4,806.4,5.7140075475
243,csdn,0,chrome,1491,989.8,989.8,11.142038373
244,csdn,0,chrome,1485,880.8,880.8,4.5577481695
245,csdn,0,chrome,1406,773.1,773.1,9.111637483
246,csdn,0,chrome,1338,897.2,897.2,6.284372955
247,csdn,0,chrome,1396,825.9,825.9,1.7438222235
248,csdn,0,chrome,1420,1003.5,1003.5,6.3722914795
249,csdn,0,chrome,1342,736.2,736.2,10.1777467935
250,csdn,0,chrome,1702,826.1,826.1,6.3763028675
251,csdn,0,firefox,1132,2490.8,929,19.204058976
252,csdn,0,firefox,1177,516,602,11.905690773
253,csdn,0,firefox,1004,1376.1,421,18.19426194
254,csdn,0,firefox,870,1384.3,738,15.1735472095
255,csdn,0,firefox,903,1033.9,443,11.1868297095
256,csdn,0,firefox,903,901,457,11.900473341
257,csdn,0,firefox,1048,900.3,464,17.2514977385
258,csdn,0,firefox,1094,1007.8,416,13.9278100705
259,csdn,0,firefox,1020,1491.6,398,10.3634337705
260,csdn,0,firefox,880,733.3,446,8.8874425125
261,adsrvr,0,chrome,465,543.9,543.9,4.1885679955
262,adsrvr,0,chrome,476,570.9,570.9,4.5392363485
263,adsrvr,0,chrome,480,581.9,581.9,2.667181119
264,adsrvr,0,chrome,481,581.6,581.6,5.081701273
265,adsrvr,0,chrome,502,596,596,3.3339852625
266,adsrvr,0,chrome,473,572.5,572.5,4.4160598755
267,adsrvr,0,chrome,489,564.3,564.3,5.0406435955
268,adsrvr,0,chrome,466,550.1,550.1,1.744948047
269,adsrvr,0,chrome,466,559.7,559.7,2.0434769075
270,adsrvr,0,chrome,462,559.5,559.5,4.56168331
271,adsrvr,0,firefox,369,516,237,8.788313182
272,adsrvr,0,firefox,353,1224,211,5.2190560995
273,adsrvr,0,firefox,420,4995.5,254,10.890748177
274,adsrvr,0,firefox,432,596,244,5.4372362315
275,adsrvr,0,firefox,425,1585.1,244,8.2424100235
276,adsrvr,0,firefox,363,1711.8,226,8.0691877365
277,adsrvr,0,firefox,442,1711.8,261,5.8244106635
278,adsrvr,0,firefox,452,550.1,238,9.706720391
279,adsrvr,0,firefox,395,1367.7,256,6.934788312
280,adsrvr,0,firefox,474,743.2,274,11.904632132
281,stackexhange,0,chrome,1127,1496.7,1496.7,4.588869855
282,stackexhange,0,chrome,1081,1475.1,1475.1,5.744876541
283,stackexhange,0,chrome,1083,1460.7,1460.7,4.870252217
284,stackexhange,0,chrome,1135,1534.7,1534.7,4.491511356
285,stackexhange,0,chrome,1114,1496.7,1496.7,8.7529036205
286,stackexhange,0,chrome,1094,1518.7,1518.7,5.508995556
287,stackexhange,0,chrome,1189,1566,1566,8.267705215
288,stackexhange,0,chrome,1079,1456,1456,4.829414641
289,stackexhange,0,chrome,1109,1483.5,1483.5,6.397711793
290,stackexhange,0,chrome,1116,1488.6,1488.6,2.5439773565
291,stackexhange,0,firefox,1113,516,922,18.327238659
292,stackexhange,0,firefox,1085,1822.5,823,10.964770931
293,stackexhange,0,firefox,1167,1733.4,978,13.00625602
294,stackexhange,0,firefox,1238,1598.1,1048,9.1920091605
295,stackexhange,0,firefox,1364,1049,1181,8.296885261
296,stackexhange,0,firefox,1073,825,906,11.872245582
297,stackexhange,0,firefox,1084,2070.5,816,21.2457993815
298,stackexhange,0,firefox,1058,1411.4,874,14.423616433
299,stackexhange,0,firefox,1134,531.6,969,9.339040718
300,stackexhange,0,firefox,1124,681.3,961,13.6776317845
301,statcounter,0,chrome,1261,957.9,957.9,4.5363503745
302,statcounter,0,chrome,1225,1070.6,1070.6,4.743215071
303,statcounter,0,chrome,1206,1154,1154,6.4541311575
304,statcounter,0,chrome,1262,1129,1129,4.6916643895
305,statcounter,0,chrome,1361,1319.5,1319.5,3.917631605
306,statcounter,0,chrome,1223,956.6,956.6,3.446534477
307,statcounter,0,chrome,1173,1057.8,1057.8,3.75296425
308,statcounter,0,chrome,1203,1143.2,1143.2,2.7344049015
309,statcounter,0,chrome,2144,1100.1,1100.1,4.3504392795
310,statcounter,0,chrome,1262,1201.9,1201.9,4.6872030295
311,statcounter,0,firefox,1178,851.5,488,15.465884162
312,statcounter,0,firefox,1387,905.3,787,7.6987984075
313,statcounter,0,firefox,2110,949.7,626,8.0083473585
314,statcounter,0,firefox,1306,1226.7,659,6.8712257565
315,statcounter,0,firefox,2321,1359.7,947,7.432006828
316,statcounter,0,firefox,2364,2487.1,767,4.919280635
317,statcounter,0,firefox,1371,1730.3,757,9.7065008375
318,statcounter,0,firefox,1490,1390.2,644,7.83339827
319,statcounter,0,firefox,1306,860.7,612,12.59423263
320,statcounter,0,firefox,1252,1055.8,620,16.1349541485
321,stumpleupon,0,chrome,290,590.7,590.7,4.0440996265
322,stumpleupon,0,chrome,293,690.1,690.1,6.093866552
323,stumpleupon,0,chrome,330,616.1,616.1,6.428303032
324,stumpleupon,0,chrome,272,658,658,12.136724941
325,stumpleupon,0,chrome,336,637.4,637.4,4.9242319005
326,stumpleupon,0,chrome,292,622.9,622.9,4.849596796
327,stumpleupon,0,chrome,304,574.3,574.3,7.2058530495
328,stumpleupon,0,chrome,301,614.2,614.2,7.0239670395
329,stumpleupon,0,chrome,364,679.4,679.4,6.402007798
330,stumpleupon,0,chrome,317,636.8,636.8,5.3041921145
331,stumpleupon,0,firefox,224,647.2,219,25.5631274855
332,stumpleupon,0,firefox,355,1258.5,340,23.261828861
333,stumpleupon,0,firefox,240,1451.1,221,28.9989264655
334,stumpleupon,0,firefox,266,1329.8,263,22.7771699655
335,stumpleupon,0,firefox,327,1822.6,267,24.8408676745
336,stumpleupon,0,firefox,266,1295,250,33.1196741935
337,stumpleupon,0,firefox,230,1052.8,225,24.401200205
338,stumpleupon,0,firefox,585,1359.7,570,25.1677605395
339,stumpleupon,0,firefox,298,1794.4,254,24.2464811155
340,stumpleupon,0,firefox,258,2197.6,242,27.651597272
341,lijit,0,chrome,542,902,902,3.4525397295
342,lijit,0,chrome,556,933.1,933.1,4.253753039
343,lijit,0,chrome,551,932.6,932.6,5.397133134
344,lijit,0,chrome,512,890.8,890.8,2.1795579425
345,lijit,0,chrome,562,940.6,940.6,3.320213694
346,lijit,0,chrome,559,955,955,0
347,lijit,0,chrome,597,1003.3,1003.3,0
348,lijit,0,chrome,518,879.5,879.5,2.5822029325
349,lijit,0,chrome,528,938.5,938.5,2.534258894
350,lijit,0,chrome,558,930.3,930.3,6.3397404225
351,lijit,0,firefox,444,2490.8,430,7.5343287145
352,lijit,0,firefox,428,1817.9,415,9.711982309
353,lijit,0,firefox,359,2552.2,352,5.70482324
354,lijit,0,firefox,407,564.3,406,5.282144588
355,lijit,0,firefox,402,1411.4,391,10.562489358
356,lijit,0,firefox,419,674.7,405,6.625780955
357,lijit,0,firefox,398,2487.1,386,10.9180535205
358,lijit,0,firefox,448,574.3,397,7.8935340995
359,lijit,0,firefox,344,933.6,331,7.3505445885
360,lijit,0,firefox,385,392.3,349,10.266500928
361,drupal,0,chrome,2557,1051.8,1051.8,35.1951454105
362,drupal,0,chrome,2512,1083.8,1083.8,35.3007155985
363,drupal,0,chrome,2479,1047.1,1047.1,11.4452866135
364,drupal,0,chrome,2504,846.6,846.6,30.7137982895
365,drupal,0,chrome,2483,1059.5,1059.5,32.3900965185
366,drupal,0,chrome,2570,874.5,874.5,36.419370274
367,drupal,0,chrome,2578,1076.5,1076.5,36.5819166085
368,drupal,0,chrome,2542,888.7,888.7,38.7808240065
369,drupal,0,chrome,2500,996.8,996.8,28.4926468445
370,drupal,0,chrome,2471,1002,1002,13.5569600355
371,drupal,0,firefox,2134,1082.7,853,46.3168842085
372,drupal,0,firefox,2924,640.4,1978,32.3083541435
373,drupal,0,firefox,1887,725.5,922,28.86445152
374,drupal,0,firefox,1624,1291.1,879,37.8041070835
375,drupal,0,firefox,2212,941,956,32.5005260135
376,drupal,0,firefox,2745,2004.2,1386,41.1969650265
377,drupal,0,firefox,1792,1052.8,891,28.5162979475
378,drupal,0,firefox,3599,825,2001,23.840893842
379,drupal,0,firefox,3054,2190,1381,33.7175233725
380,drupal,0,firefox,2460,1456,910,32.252515847
381,shopify,1,chrome,1106,1050.8,1050.8,6.979961313
382,shopify,1,chrome,1150,1084.5,1084.5,11.963975387
383,shopify,1,chrome,1062,913.5,913.5,14.2950786895
384,shopify,1,chrome,1006,870.8,870.8,7.4396890765
385,shopify,1,chrome,1177,1039.8,1039.8,12.666859837
386,shopify,1,chrome,1117,1044.2,1044.2,13.228205418
387,shopify,1,chrome,1027,857.8,857.8,14.3766109945
388,shopify,1,chrome,992,860.7,860.7,11.522914534
389,shopify,1,chrome,1088,945.2,945.2,9.3645018285
390,shopify,1,chrome,1004,871.5,871.5,11.5061211845
391,shopify,1,firefox,2362,500.3,1728,21.881108999
392,shopify,1,firefox,4717,757.6,4442,11.13915447
393,shopify,1,firefox,3489,2062.1,2830,12.510478605
394,shopify,1,firefox,3574,2519.8,3048,15.0120634335
395,shopify,1,firefox,4555,2125.9,3756,14.8569548595
396,shopify,1,firefox,4183,826.1,3157,22.584369206
397,shopify,1,firefox,4180,1557.4,3051,22.766103316
398,shopify,1,firefox,4426,1782.8,3809,14.00011224
399,shopify,1,firefox,4513,485.5,3898,19.3005561485
400,shopify,1,firefox,4246,756.6,3537,8.9688331935
401,allaboutcookies,1,chrome,400,400.1,400.1,3.688586212
402,allaboutcookies,1,chrome,397,379,379,4.247311671
403,allaboutcookies,1,chrome,407,432.2,432.2,5.3731915495
404,allaboutcookies,1,chrome,417,412.9,412.9,2.734939586
405,allaboutcookies,1,chrome,435,428,428,3.5313782855
406,allaboutcookies,1,chrome,428,442.3,442.3,7.546381049
407,allaboutcookies,1,chrome,385,369.3,369.3,5.493441132
408,allaboutcookies,1,chrome,720,751.4,751.4,4.2513343235
409,allaboutcookies,1,chrome,429,422.9,422.9,4.6904046205
410,allaboutcookies,1,chrome,405,406.8,406.8,5.7157577755
411,allaboutcookies,1,firefox,323,898.4,202,13.247763106
412,allaboutcookies,1,firefox,315,1180.8,160,5.8713225205
413,allaboutcookies,1,firefox,287,1375.7,147,12.1643202635
414,allaboutcookies,1,firefox,321,776.9,163,7.3747064885
415,allaboutcookies,1,firefox,281,995.4,151,8.8685196405
416,allaboutcookies,1,firefox,312,1312.5,178,6.2657284225
417,allaboutcookies,1,firefox,298,1240.5,172,10.400352832
418,allaboutcookies,1,firefox,330,618.8,215,11.4048975215
419,allaboutcookies,1,firefox,310,385.7,153,6.5639245335
420,allaboutcookies,1,firefox,282,1390.2,152,14.0538982105
421,stumpleupon,1,chrome,273,592.7,592.7,6.1921178855
422,stumpleupon,1,chrome,311,640.4,640.4,10.0805623055
423,stumpleupon,1,chrome,295,652.8,652.8,5.7678637465
424,stumpleupon,1,chrome,270,585,585,11.1014270585
425,stumpleupon,1,chrome,357,681.4,681.4,6.183261922
426,stumpleupon,1,chrome,312,668.1,668.1,5.264137114
427,stumpleupon,1,chrome,566,1139.2,1139.2,7.846333085
428,stumpleupon,1,chrome,311,588.7,588.7,5.632273459
429,stumpleupon,1,chrome,302,610.1,610.1,9.979264961
430,stumpleupon,1,chrome,306,624.3,624.3,8.134211695
431,stumpleupon,1,firefox,302,1107.2,295,31.576367625
432,stumpleupon,1,firefox,285,638.9,275,33.156645199
433,stumpleupon,1,firefox,296,794.3,282,24.320205001
434,stumpleupon,1,firefox,276,687,263,10.4866410345
435,stumpleupon,1,firefox,298,955,280,17.6197370565
436,stumpleupon,1,firefox,322,905.3,316,18.0619811435
437,stumpleupon,1,firefox,299,1587,293,24.210552672
438,stumpleupon,1,firefox,324,2456.9,253,25.052322316
439,stumpleupon,1,firefox,249,1057.8,196,19.6570388865
440,stumpleupon,1,firefox,250,4875.4,233,26.2874260105
441,yale,1,chrome,1037,898.4,898.4,8.8051822755
442,yale,1,chrome,1028,876.3,876.3,6.5411140185
443,yale,1,chrome,1028,887.8,887.8,9.331694757
444,yale,1,chrome,1009,854.4,854.4,5.211144936
445,yale,1,chrome,1000,883.1,883.1,6.3961187675
446,yale,1,chrome,1011,895.5,895.5,6.376347456
447,yale,1,chrome,1029,876.3,876.3,4.7748514215
