,site,crit,browser,i,lt,fp,fcp,e
16_1_5,applenews,0,firefox,5,1675,364.2,1341,22.5452365105
16_1_6,applenews,0,firefox,6,1609,364.2,1529,18.083190063
16_1_7,applenews,0,firefox,7,1632,1313.8,1553,18.010227018000005
16_1_8,applenews,0,firefox,8,1804,1174.2,1668,13.057367350499998
16_1_9,applenews,0,firefox,9,1676,831.9,1596,16.083993362
17_0_0,opendns,1,chrome,0,1079,827.9,827.9,8.050384923500001
17_0_1,opendns,1,chrome,1,1187,811,811,10.3510225475
17_0_2,opendns,1,chrome,2,936,846,846,8.9007030225
17_0_3,opendns,1,chrome,3,938,875.5,875.5,15.8986220745
17_0_4,opendns,1,chrome,4,1164,871.3,871.3,17.369548032499996
17_0_5,opendns,1,chrome,5,942,864.6,864.6,5.739928291
17_0_6,opendns,1,chrome,6,1657,942.2,942.2,5.745316934
17_0_7,opendns,1,chrome,7,1113,745.8,745.8,10.98163142
17_0_8,opendns,1,chrome,8,1031,821.9,821.9,9.4147585865
17_0_9,opendns,1,chrome,9,1181,831.9,831.9,8.881043718499999
17_0_10,opendns,1,chrome,10,1090,795.9,795.9,
17_1_0,opendns,1,firefox,0,1486,1081.5,1146,10.5061336325
17_1_1,opendns,1,firefox,1,1434,1188.8,1195,10.0455912245
17_1_2,,,,,,,,10.554187179
17_1_3,,,,,,,,9.139837201000002
17_1_4,,,,,,,,18.286453596
17_1_5,,,,,,,,18.179604522
17_1_6,,,,,,,,10.4253365095
17_1_7,,,,,,,,11.906672026
17_1_8,,,,,,,,16.032210031
17_1_9,,,,,,,,10.798644737500002
