,site,crit,browser,i,lt,fp,fcp,e
20_1_3,lijit,0,firefox,3,407,564.3,406,5.282144588
20_1_4,lijit,0,firefox,4,402,1411.4,391,10.562489358
20_1_5,lijit,0,firefox,5,419,674.7,405,6.625780955
20_1_6,lijit,0,firefox,6,398,2487.1,386,10.9180535205
20_1_7,lijit,0,firefox,7,448,574.3,397,7.8935340995
20_1_8,lijit,0,firefox,8,344,933.6,331,7.350544588500001
20_1_9,lijit,0,firefox,9,385,392.3,349,10.266500928
21_0_0,drupal,0,chrome,0,2557,1051.8,1051.8,35.195145410500004
21_0_1,drupal,0,chrome,1,2512,1083.8,1083.8,35.3007155985
21_0_2,drupal,0,chrome,2,2479,1047.1,1047.1,11.4452866135
21_0_3,drupal,0,chrome,3,2504,846.6,846.6,30.713798289499994
21_0_4,drupal,0,chrome,4,2483,1059.5,1059.5,32.3900965185
21_0_5,drupal,0,chrome,5,2570,874.5,874.5,36.419370274
21_0_6,drupal,0,chrome,6,2578,1076.5,1076.5,36.5819166085
21_0_7,drupal,0,chrome,7,2542,888.7,888.7,38.780824006500005
21_0_8,drupal,0,chrome,8,2500,996.8,996.8,28.4926468445
21_0_9,drupal,0,chrome,9,2471,1002,1002,13.556960035499998
21_1_0,drupal,0,firefox,0,2134,1082.7,853,46.3168842085
21_1_1,drupal,0,firefox,1,2924,640.4,1978,32.3083541435
21_1_2,drupal,0,firefox,2,1887,725.5,922,28.864451520000003
21_1_3,drupal,0,firefox,3,1624,1291.1,879,37.8041070835
21_1_4,drupal,0,firefox,4,2212,941,956,32.50052601349999
21_1_5,drupal,0,firefox,5,2745,2004.2,1386,41.1969650265
21_1_6,drupal,0,firefox,6,1792,1052.8,891,28.516297947500004
21_1_7,drupal,0,firefox,7,3599,825,2001,23.840893842
21_1_8,drupal,0,firefox,8,3054,2190,1381,33.717523372500004
21_1_9,drupal,0,firefox,9,2460,1456,910,32.252515847
22_0_0,shopify,1,chrome,0,1106,1050.8,1050.8,6.979961312999999
22_0_1,shopify,1,chrome,1,1150,1084.5,1084.5,11.963975387
22_0_2,shopify,1,chrome,2,1062,913.5,913.5,14.2950786895
22_0_3,shopify,1,chrome,3,1006,870.8,870.8,7.439689076499999
22_0_4,shopify,1,chrome,4,1177,1039.8,1039.8,12.666859837
22_0_5,shopify,1,chrome,5,1117,1044.2,1044.2,13.228205418
22_0_6,shopify,1,chrome,6,1027,857.8,857.8,14.376610994499998
22_0_7,shopify,1,chrome,7,992,860.7,860.7,11.522914534
22_0_8,shopify,1,chrome,8,1088,945.2,945.2,9.3645018285
22_0_9,shopify,1,chrome,9,1004,871.5,871.5,11.506121184500005
22_1_0,shopify,1,firefox,0,2362,500.3,1728,21.881108999
22_1_1,shopify,1,firefox,1,4717,757.6,4442,11.13915447
22_1_2,shopify,1,firefox,2,3489,2062.1,2830,12.510478605
22_1_3,shopify,1,firefox,3,3574,2519.8,3048,15.0120634335
22_1_4,shopify,1,firefox,4,4555,2125.9,3756,14.8569548595
22_1_5,shopify,1,firefox,5,4183,826.1,3157,22.584369206
22_1_6,shopify,1,firefox,6,4180,1557.4,3051,22.766103316
22_1_7,shopify,1,firefox,7,4426,1782.8,3809,14.00011224
22_1_8,shopify,1,firefox,8,4513,485.5,3898,19.300556148500004
22_1_9,shopify,1,firefox,9,4246,756.6,3537,8.9688331935
23_0_0,,,,,,,,9.4202457825
23_0_1,,,,,,,,10.833821383500002
23_0_2,,,,,,,,11.320838327
23_0_3,,,,,,,,13.4352313025
23_0_4,,,,,,,,10.39529973
23_0_5,,,,,,,,12.800280053999998
23_0_6,,,,,,,,16.68141474
23_0_7,,,,,,,,14.2444559945
23_0_8,,,,,,,,12.45200425
23_0_9,,,,,,,,13.1343218685
23_1_0,,,,,,,,21.751070960500005
23_1_1,,,,,,,,11.775570405500002
23_1_2,,,,,,,,13.0222714365
23_1_3,,,,,,,,22.184807425
23_1_4,,,,,,,,19.243029011
23_1_5,,,,,,,,18.2648433155
23_1_6,,,,,,,,16.3857608295
23_1_7,,,,,,,,24.5894306815
23_1_8,,,,,,,,16.105548598
23_1_9,,,,,,,,22.103174059
24_0_0,allaboutcookies,1,chrome,0,400,400.1,400.1,3.6885862120000006
24_0_1,allaboutcookies,1,chrome,1,397,379,379,4.247311670999997
24_0_2,allaboutcookies,1,chrome,2,407,432.2,432.2,5.373191549500001
24_0_3,allaboutcookies,1,chrome,3,417,412.9,412.9,2.7349395860000003
24_0_4,allaboutcookies,1,chrome,4,435,428,428,3.5313782855
24_0_5,allaboutcookies,1,chrome,5,428,442.3,442.3,7.546381049
24_0_6,allaboutcookies,1,chrome,6,385,369.3,369.3,5.493441132
24_0_7,allaboutcookies,1,chrome,7,720,751.4,751.4,4.251334323499999
24_0_8,allaboutcookies,1,chrome,8,429,422.9,422.9,4.690404620500001
24_0_9,allaboutcookies,1,chrome,9,405,406.8,406.8,5.7157577755
24_1_0,allaboutcookies,1,firefox,0,323,898.4,202,13.247763106
24_1_1,allaboutcookies,1,firefox,1,315,1180.8,160,5.871322520500001
24_1_2,allaboutcookies,1,firefox,2,287,1375.7,147,12.164320263500002
24_1_3,allaboutcookies,1,firefox,3,321,776.9,163,7.374706488500001
24_1_4,allaboutcookies,1,firefox,4,281,995.4,151,8.8685196405
24_1_5,allaboutcookies,1,firefox,5,312,1312.5,178,6.2657284225000005
24_1_6,allaboutcookies,1,firefox,6,298,1240.5,172,10.400352832
24_1_7,allaboutcookies,1,firefox,7,330,618.8,215,11.404897521500002
24_1_8,allaboutcookies,1,firefox,8,310,385.7,153,6.563924533500001
24_1_9,allaboutcookies,1,firefox,9,282,1390.2,152,14.053898210500002
25_0_0,stumpleupon,1,chrome,0,273,592.7,592.7,6.1921178855
25_0_1,stumpleupon,1,chrome,1,311,640.4,640.4,10.080562305500004
25_0_2,stumpleupon,1,chrome,2,295,652.8,652.8,5.767863746499998
25_0_3,stumpleupon,1,chrome,3,270,585,585,11.1014270585
25_0_4,stumpleupon,1,chrome,4,357,681.4,681.4,6.183261921999998
25_0_5,stumpleupon,1,chrome,5,312,668.1,668.1,5.264137114
25_0_6,stumpleupon,1,chrome,6,566,1139.2,1139.2,7.846333085000001
25_0_7,stumpleupon,1,chrome,7,311,588.7,588.7,5.632273459
25_0_8,stumpleupon,1,chrome,8,302,610.1,610.1,9.979264961
25_0_9,stumpleupon,1,chrome,9,306,624.3,624.3,8.134211695
25_1_0,stumpleupon,1,firefox,0,302,1107.2,295,31.57636762500001
25_1_1,stumpleupon,1,firefox,1,285,638.9,275,33.15664519900001
25_1_2,stumpleupon,1,firefox,2,296,794.3,282,24.320205000999984
25_1_3,stumpleupon,1,firefox,3,276,687,263,10.486641034499996
25_1_4,stumpleupon,1,firefox,4,298,955,280,17.619737056499996
25_1_5,stumpleupon,1,firefox,5,322,905.3,316,18.0619811435
25_1_6,stumpleupon,1,firefox,6,299,1587,293,24.210552672
25_1_7,stumpleupon,1,firefox,7,324,2456.9,253,25.052322316000005
25_1_8,stumpleupon,1,firefox,8,249,1057.8,196,19.65703888649999
25_1_9,stumpleupon,1,firefox,9,250,4875.4,233,26.287426010500003
26_0_0,yale,1,chrome,0,1037,898.4,898.4,8.805182275500002
26_0_1,yale,1,chrome,1,1028,876.3,876.3,6.541114018500001
26_0_2,yale,1,chrome,2,1028,887.8,887.8,9.331694757
26_0_3,yale,1,chrome,3,1009,854.4,854.4,5.211144936
26_0_4,yale,1,chrome,4,1000,883.1,883.1,6.396118767500001
26_0_5,yale,1,chrome,5,1011,895.5,895.5,6.376347456
26_0_6,yale,1,chrome,6,1029,876.3,876.3,4.774851421499999
26_0_7,yale,1,chrome,7,957,787.3,787.3,4.420392171999999
26_0_8,yale,1,chrome,8,1000,851.5,851.5,2.0615306450000004
26_0_9,yale,1,chrome,9,1974,1495,1495,6.293826225999999
26_1_0,yale,1,firefox,0,1105,375.3,643,6.2777300380000005
26_1_1,yale,1,firefox,1,2032,757.6,754,11.2441905995
26_1_2,yale,1,firefox,2,1071,1187.4,549,9.290412799
26_1_3,yale,1,firefox,3,1128,4995.5,654,9.353796545500002
26_1_4,yale,1,firefox,4,1115,824.5,656,9.996999228999998
26_1_5,yale,1,firefox,5,979,1302.8,712,8.1265161275
26_1_6,yale,1,firefox,6,1002,1226.7,561,7.543569261999999
26_1_7,yale,1,firefox,7,891,1422.5,552,10.3496859435
26_1_8,yale,1,firefox,8,2086,2451.6,1649,9.0711771635
26_1_9,yale,1,firefox,9,892,933.6,577,8.141907221
27_0_0,docusign,1,chrome,0,1470,2268.6,2268.6,9.527156657
27_0_1,docusign,1,chrome,1,1504,2280,2280,11.8547998015
27_0_2,docusign,1,chrome,2,1635,2408,2408,18.207190316
27_0_3,docusign,1,chrome,3,1443,2226,2226,10.471923796
27_0_4,docusign,1,chrome,4,1670,2437.8,2437.8,12.251047167
27_0_5,docusign,1,chrome,5,1588,2397.4,2397.4,2.172618508
27_0_6,docusign,1,chrome,6,1528,2337.4,2337.4,14.375423651000002
27_0_7,docusign,1,chrome,7,2153,3448.2,3448.2,10.0804857595
27_0_8,docusign,1,chrome,8,2423,4089.1,4089.1,47.34265071750001
27_0_9,docusign,1,chrome,9,1442,2197.6,2197.6,12.410130334499998
27_1_0,docusign,1,firefox,0,1443,981.1,1325,14.049422137
27_1_1,docusign,1,firefox,1,1429,1356.8,1342,14.358173449
27_1_2,docusign,1,firefox,2,1440,981.4,1328,23.219515502499995
27_1_3,docusign,1,firefox,3,1419,1880,1320,19.43451215650001
27_1_4,docusign,1,firefox,4,1628,825,1475,24.9883985555
27_1_5,docusign,1,firefox,5,1483,1454.3,1363,16.735224675
27_1_6,docusign,1,firefox,6,3400,740.4,2841,15.8034356805
27_1_7,docusign,1,firefox,7,2420,1228.8,1951,14.830024437500002
27_1_8,docusign,1,firefox,8,1378,422.9,1155,17.40896867
27_1_9,docusign,1,firefox,9,1523,1020,1419,15.2842244265
28_0_0,github,1,chrome,0,1697,807,807,48.871048582
28_0_1,github,1,chrome,1,2400,1458.7,1458.7,45.25798224850001
28_0_2,github,1,chrome,2,1994,888.8,888.8,35.46804472250001
28_0_3,github,1,chrome,3,1686,816.5,816.5,11.897515508
28_0_4,github,1,chrome,4,1904,983.8,983.8,43.55111388250001
28_0_5,github,1,chrome,5,1747,846.7,846.7,53.174844934000006
28_0_6,github,1,chrome,6,1773,916.8,916.8,37.582967553
28_0_7,github,1,chrome,7,1935,1373.9,1373.9,54.9859226735
28_0_8,github,1,chrome,8,2477,1593.3,1593.3,37.80646101500001
28_0_9,github,1,chrome,9,1702,840.5,840.5,40.3876093935
28_1_0,github,1,firefox,0,1055,683.1,560,27.889705039000003
28_1_1,github,1,firefox,1,1019,2552.4,519,20.359558583
28_1_2,github,1,firefox,2,1079,581.6,604,28.113930695
28_1_3,github,1,firefox,3,1002,981.4,510,15.3315889965
28_1_4,github,1,firefox,4,3013,1880,464,32.2295811095
28_1_5,github,1,firefox,5,1118,983.8,569,33.2123056985
28_1_6,github,1,firefox,6,1036,2538.1,540,18.124962803000003
28_1_7,github,1,firefox,7,1270,762.9,518,36.4066616285
28_1_8,github,1,firefox,8,2070,1020,1576,29.2398332305
28_1_9,github,1,firefox,9,2112,498,1631,30.0988096495
29_0_0,enable,0,chrome,0,628,670.1,670.1,4.3491095600000005
29_0_1,enable,0,chrome,1,624,667.5,667.5,4.6458542320000005
29_0_2,enable,0,chrome,2,712,763.6,763.6,4.661987236000001
29_0_3,enable,0,chrome,3,733,902,902,2.4108423065
29_0_4,enable,0,chrome,4,634,822.2,822.2,7.056273280000001
29_0_5,enable,0,chrome,5,591,644.8,644.8,5.812736246999999
29_0_6,enable,0,chrome,6,607,674.7,674.7,1.9613882605
29_0_7,enable,0,chrome,7,722,755.4,755.4,4.187774675500001
29_0_8,enable,0,chrome,8,526,656.2,656.2,4.9894876015000005
29_0_9,enable,0,chrome,9,662,711.2,711.2,5.255240032500001
29_1_0,enable,0,firefox,0,539,1394.1,523,10.728048638000002
29_1_1,enable,0,firefox,1,520,1376.1,422,8.889020509
29_1_2,enable,0,firefox,2,554,943.3,463,6.573846378499999
29_1_3,enable,0,firefox,3,723,612.2,637,9.70089455
29_1_4,enable,0,firefox,4,1101,751.4,870,9.8770945565
29_1_5,enable,0,firefox,5,978,1364.3,791,10.533647701
29_1_6,enable,0,firefox,6,1042,1135.1,832,8.7725164125
29_1_7,enable,0,firefox,7,520,1454.3,515,7.982120071999999
29_1_8,enable,0,firefox,8,642,1156.3,641,13.8393512685
29_1_9,enable,0,firefox,9,503,1148.7,501,5.047868278499999
30_0_0,enable,1,chrome,0,615,674.5,674.5,3.0233954254999995
30_0_1,enable,1,chrome,1,583,764.8,764.8,2.6902750699999998
30_0_2,enable,1,chrome,2,699,735.3,735.3,4.830416613
30_0_3,enable,1,chrome,3,614,679.5,679.5,4.811144812499999
30_0_4,enable,1,chrome,4,594,765.2,765.2,4.331795994499999
30_0_5,enable,1,chrome,5,1219,1281.3,1281.3,2.6967280895
30_0_6,enable,1,chrome,6,591,650.3,650.3,6.059097967
30_0_7,enable,1,chrome,7,632,676.7,676.7,2.839076793
30_0_8,enable,1,chrome,8,624,694,694,2.8648377155
30_0_9,enable,1,chrome,9,597,650.8,650.8,4.496133120500001
30_1_0,enable,1,firefox,0,530,2268.6,526,6.321319947499999
30_1_1,enable,1,firefox,1,538,709.4,524,9.3484108675
30_1_2,enable,1,firefox,2,521,601.5,508,15.362013463500004
30_1_3,enable,1,firefox,3,446,379,440,7.128383015500001
30_1_4,enable,1,firefox,4,499,1121.8,492,13.1291243
30_1_5,enable,1,firefox,5,567,940.6,490,7.713537723500001
30_1_6,enable,1,firefox,6,474,716.4,468,7.701308311
30_1_7,enable,1,firefox,7,494,1003.3,478,10.0104884545
30_1_8,enable,1,firefox,8,456,746.2,454,7.0320043275
30_1_9,enable,1,firefox,9,562,788.1,468,7.6028152075
31_0_0,,,,,,,,6.319239602500001
31_0_1,,,,,,,,7.621326639500001
31_0_2,,,,,,,,5.9245923215000005
31_0_3,,,,,,,,10.210651418499998
31_0_4,,,,,,,,9.11045603
31_0_5,,,,,,,,11.227434039
31_0_6,,,,,,,,7.091475583500001
31_0_7,,,,,,,,7.068393562
31_0_8,,,,,,,,7.6743950725
31_0_9,,,,,,,,9.3024657335
31_1_0,,,,,,,,13.1709184175
31_1_1,,,,,,,,14.752372566999998
31_1_2,,,,,,,,16.948534819000002
31_1_3,,,,,,,,14.426875636000002
31_1_4,,,,,,,,12.0727372655
31_1_5,,,,,,,,25.050725924
31_1_6,,,,,,,,16.127541095
31_1_7,,,,,,,,18.861462074
31_1_8,,,,,,,,15.998078302499996
31_1_9,,,,,,,,15.258004568
32_0_0,live,1,chrome,0,454,1202.7,1202.7,6.9927186805
32_0_1,live,1,chrome,1,429,1173.8,1173.8,10.7572252105
32_0_2,live,1,chrome,2,435,1192.3,1192.3,11.327789521500002
32_0_3,live,1,chrome,3,473,1233.5,1233.5,11.877058147000003
32_0_4,live,1,chrome,4,444,1221.5,1221.5,6.377240777999999
32_0_5,live,1,chrome,5,442,1213.1,1213.1,6.371835645999997
32_0_6,live,1,chrome,6,480,1240.4,1240.4,7.606243164
32_0_7,live,1,chrome,7,477,1261.9,1261.9,6.950028108
32_0_8,live,1,chrome,8,413,1156.3,1156.3,4.7016097775
32_0_9,live,1,chrome,9,451,1220.6,1220.6,8.365994114
32_1_0,live,1,firefox,0,380,629.6,362,13.975592501500005
32_1_1,live,1,firefox,1,399,1056.4,393,18.623483260499995
32_1_2,live,1,firefox,2,405,1033.9,403,13.971711497499998
32_1_3,live,1,firefox,3,445,803,432,21.1145623835
32_1_4,live,1,firefox,4,429,765.2,413,15.946642714999998
32_1_5,live,1,firefox,5,404,644.8,388,11.797587959
32_1_6,live,1,firefox,6,885,1191,873,15.295451117
32_1_7,live,1,firefox,7,748,1495,624,16.594563425999997
32_1_8,live,1,firefox,8,406,2607.1,396,15.392934532499998
32_1_9,live,1,firefox,9,401,1108.1,384,11.400674668
33_0_0,cambridge,1,chrome,0,1766,1423.4,1423.4,9.215098687
33_0_1,cambridge,1,chrome,1,1920,1282.4,1282.4,4.000054015
33_0_2,cambridge,1,chrome,2,1817,1329.8,1329.8,11.2680320945
33_0_3,cambridge,1,chrome,3,1887,1117.1,1117.1,12.294164555
33_0_4,cambridge,1,chrome,4,1698,1202.4,1202.4,12.728622382000005
33_0_5,cambridge,1,chrome,5,1969,1485.3,1485.3,6.3154147925
33_0_6,cambridge,1,chrome,6,1820,1295,1295,7.518312506
33_0_7,cambridge,1,chrome,7,1816,1323.2,1323.2,11.380011818999998
33_0_8,cambridge,1,chrome,8,1942,1363.9,1363.9,7.551719219000001
33_0_9,cambridge,1,chrome,9,1778,1139.5,1139.5,9.0760721455
33_1_0,cambridge,1,firefox,0,1942,629.6,808,13.927836702
33_1_1,cambridge,1,firefox,1,2021,978.9,748,16.177536291
33_1_2,cambridge,1,firefox,2,2193,442.3,810,21.3999383035
33_1_3,cambridge,1,firefox,3,1907,564.3,754,19.019934391
33_1_4,cambridge,1,firefox,4,1874,692.4,749,21.856713112
33_1_5,cambridge,1,firefox,5,2047,1276.5,809,21.0699365925
33_1_6,cambridge,1,firefox,6,3099,1290.1,1511,22.044843176
33_1_7,cambridge,1,firefox,7,2008,636.8,794,12.046604209499998
33_1_8,cambridge,1,firefox,8,2090,959.4,792,16.8055096475
33_1_9,cambridge,1,firefox,9,2072,1384.7,816,14.4019194355
34_0_0,mailchi,0,chrome,0,3272,1845.1,1845.1,15.324930428499997
34_0_1,mailchi,0,chrome,1,3408,1861.4,1861.4,16.0543295535
34_0_2,mailchi,0,chrome,2,3235,1836.1,1836.1,14.357372668
34_0_3,mailchi,0,chrome,3,3207,1822,1822,23.894938184
34_0_4,mailchi,0,chrome,4,3360,1731,1731,13.501541017
34_0_5,mailchi,0,chrome,5,3254,1823.5,1823.5,10.5975006715
34_0_6,mailchi,0,chrome,6,6143,2884.2,2884.2,13.1333116775
34_0_7,mailchi,0,chrome,7,5277,2909.1,2909.1,14.624011243000002
34_0_8,mailchi,0,chrome,8,3493,1771.7,1771.7,12.985101023
34_0_9,mailchi,0,chrome,9,3526,1804.3,1804.3,11.513068302500002
34_1_0,mailchi,0,firefox,0,3269,1845.1,2615,25.1220274005
34_1_1,mailchi,0,firefox,1,3287,902,2638,19.766722432000005
34_1_2,mailchi,0,firefox,2,3118,581.9,2471,24.506725894499997
34_1_3,mailchi,0,firefox,3,3782,940.9,3084,18.4123481465
34_1_4,mailchi,0,firefox,4,4157,1665.6,3522,17.641878756
34_1_5,mailchi,0,firefox,5,4761,576.8,4135,27.6338059935
34_1_6,mailchi,0,firefox,6,4236,1374.5,3515,18.143217227
34_1_7,mailchi,0,firefox,7,4120,975.6,3482,21.9492054695
34_1_8,mailchi,0,firefox,8,3190,733.3,2549,7.975861135500001
34_1_9,mailchi,0,firefox,9,3180,1764.9,2518,18.913659555999995
35_0_0,npr,0,chrome,0,2277,1066,2254,18.9961368055
35_0_1,npr,0,chrome,1,2355,1084.7,2336.3,19.116018082000004
35_0_2,npr,0,chrome,2,2270,1115.7,2253.1,24.6287224075
35_0_3,npr,0,chrome,3,2288,1069.8,2276.6,16.738922969
35_0_4,npr,0,chrome,4,2284,1039.3,2260.9,26.4381965565
35_0_5,npr,0,chrome,5,2321,1002.9,2292.4,19.8388254355
35_0_6,npr,0,chrome,6,3612,1386.9,3201.9,19.7753958765
35_0_7,npr,0,chrome,7,2275,1005.4,2245.5,21.879049034500007
35_0_8,npr,0,chrome,8,2258,1060.9,2239.6,33.3782157255
35_0_9,npr,0,chrome,9,2288,987.6,2282.8,16.06297348
35_1_0,npr,0,firefox,0,3015,1423.4,2756,38.0145245775
35_1_1,npr,0,firefox,1,3060,1665.6,2805,56.5937657415
35_1_2,npr,0,firefox,2,3012,901,2769,31.1782508575
35_1_3,npr,0,firefox,3,2991,1181.3,2731,25.511009596
35_1_4,npr,0,firefox,4,3782,2063.6,3495,38.806531303
35_1_5,npr,0,firefox,5,3716,905.3,3465,29.142261967
35_1_6,npr,0,firefox,6,3083,1490.3,2826,33.80940825500001
35_1_7,npr,0,firefox,7,3039,2551.2,2765,24.66845835000001
35_1_8,npr,0,firefox,8,3023,1229.3,2752,29.123132009
35_1_9,npr,0,firefox,9,3794,1915.8,3199,30.2344626475
36_0_0,ilovepdf,1,chrome,0,426,683.1,683.1,6.7506357735
36_0_1,ilovepdf,1,chrome,1,610,794.3,794.3,9.660684286
36_0_2,ilovepdf,1,chrome,2,627,856.7,856.7,5.889544042499999
36_0_3,ilovepdf,1,chrome,3,526,718.1,718.1,3.986089346999999
36_0_4,ilovepdf,1,chrome,4,516,711.4,711.4,4.990346304
36_0_5,ilovepdf,1,chrome,5,484,674.2,674.2,6.468791486500001
36_0_6,ilovepdf,1,chrome,6,1184,1532.8,1532.8,8.886741284
36_0_7,ilovepdf,1,chrome,7,605,790.2,790.2,2.795035536
36_0_8,ilovepdf,1,chrome,8,438,720.2,720.2,4.588609744999999
36_0_9,ilovepdf,1,chrome,9,527,726.9,726.9,3.960218224
36_1_0,ilovepdf,1,firefox,0,1280,1771.5,296,9.182368271
36_1_1,ilovepdf,1,firefox,1,384,1288.7,306,10.3998986025
36_1_2,ilovepdf,1,firefox,2,381,834.7,374,7.5116111295
36_1_3,ilovepdf,1,firefox,3,376,415.3,296,13.6761078135
36_1_4,ilovepdf,1,firefox,4,395,564.3,331,8.3764101115
36_1_5,ilovepdf,1,firefox,5,440,576.8,340,8.927512996
36_1_6,ilovepdf,1,firefox,6,1299,674.7,310,12.577545944
36_1_7,ilovepdf,1,firefox,7,1379,1144.3,294,17.154418409
36_1_8,ilovepdf,1,firefox,8,409,860.7,315,9.8995447975
36_1_9,ilovepdf,1,firefox,9,416,1108.1,340,10.193265618500002
37_0_0,,,,,,,,2.6941331345
37_0_1,,,,,,,,2.724104364
37_0_2,,,,,,,,2.5447874195
37_0_3,,,,,,,,3.849300816
37_0_4,,,,,,,,4.509561547000001
37_0_5,,,,,,,,3.219447313
37_0_6,,,,,,,,4.1881825065000005
37_0_7,,,,,,,,3.054903866
37_0_8,,,,,,,,3.82487339
37_0_9,,,,,,,,4.450660579
37_1_0,,,,,,,,9.426251679500002
37_1_1,,,,,,,,8.866379398000001
37_1_2,,,,,,,,10.0724516705
37_1_3,,,,,,,,8.327332967499999
37_1_4,,,,,,,,14.150144976
37_1_5,,,,,,,,12.761160291
37_1_6,,,,,,,,8.7407010145
37_1_7,,,,,,,,12.108812025
37_1_8,,,,,,,,10.8538160585
37_1_9,,,,,,,,6.741795263500001
38_0_0,arxiv,0,chrome,0,436,766.9,766.9,4.434012750499998
38_0_1,arxiv,0,chrome,1,403,694.6,694.6,4.0039209645
38_0_2,arxiv,0,chrome,2,415,718.8,718.8,3.6160193504999993
38_0_3,arxiv,0,chrome,3,433,725.5,725.5,4.155001808
38_0_4,arxiv,0,chrome,4,433,803,803,3.495571136500001
38_0_5,arxiv,0,chrome,5,667,1207.3,1207.3,0.7279202840000001
38_0_6,arxiv,0,chrome,6,675,1228.8,1228.8,4.967227448500001
38_0_7,arxiv,0,chrome,7,653,1196.2,1196.2,2.2255954114999987
38_0_8,arxiv,0,chrome,8,403,698.8,698.8,7.393220964999999
38_0_9,arxiv,0,chrome,9,426,762.9,762.9,3.716544202
38_1_0,arxiv,0,firefox,0,391,1070.6,309,4.690680846999999
38_1_1,arxiv,0,firefox,1,443,629.6,349,12.846386291500002
38_1_2,arxiv,0,firefox,2,404,605,311,6.292957435
38_1_3,arxiv,0,firefox,3,377,1102.8,255,4.5927410595
38_1_4,arxiv,0,firefox,4,382,981.4,302,6.489161299499999
38_1_5,arxiv,0,firefox,5,380,1229.3,285,9.33954044
38_1_6,arxiv,0,firefox,6,351,726.1,268,2.112123415
38_1_7,arxiv,0,firefox,7,543,1386.1,404,7.879438516
38_1_8,arxiv,0,firefox,8,391,1390.2,307,10.7896918065
38_1_9,arxiv,0,firefox,9,556,825.6,445,6.367616908999999
39_0_0,blogger,1,chrome,0,790,782.6,782.6,19.842526898
39_0_1,blogger,1,chrome,1,780,826.3,826.3,14.487484566500004
39_0_2,blogger,1,chrome,2,1770,1680.5,1680.5,16.743669720999996
39_0_3,blogger,1,chrome,3,768,824.5,824.5,25.3121638325
39_0_4,blogger,1,chrome,4,726,771.6,771.6,21.17160383300001
39_0_5,blogger,1,chrome,5,780,738.8,738.8,21.895001361
39_0_6,blogger,1,chrome,6,789,813,813,28.881030286
39_0_7,blogger,1,chrome,7,742,786.1,786.1,23.029436705999995
39_0_8,blogger,1,chrome,8,659,773.3,773.3,26.36615792450001
39_0_9,blogger,1,chrome,9,780,770,770,19.8157669365
39_1_0,blogger,1,firefox,0,673,738.4,422,85.33931028649997
39_1_1,blogger,1,firefox,1,746,1464.9,444,65.67101635649998
39_1_2,blogger,1,firefox,2,951,1388.2,562,68.07248873750001
39_1_3,blogger,1,firefox,3,752,869.2,490,79.89790214899998
39_1_4,blogger,1,firefox,4,865,1181,433,68.9887374495
39_1_5,blogger,1,firefox,5,692,623.3,391,78.89625703999995
39_1_6,blogger,1,firefox,6,1421,1261.5,989,74.6148693765
39_1_7,blogger,1,firefox,7,1806,1495,1013,74.27159235799999
39_1_8,blogger,1,firefox,8,677,650.3,438,69.42125373349998
39_1_9,blogger,1,firefox,9,842,1374.5,498,67.82828357750002
40_0_0,asos,0,chrome,0,2818,998.2,998.2,18.053522224500004
40_0_1,asos,0,chrome,1,3027,1005.6,1005.6,12.3168705625
40_0_2,asos,0,chrome,2,3108,1178.5,1178.5,19.8878402175
40_0_3,asos,0,chrome,3,3170,1150.1,1150.1,12.15710877
40_0_4,asos,0,chrome,4,2900,996.7,996.7,15.319569525
40_0_5,asos,0,chrome,5,3008,995.2,995.2,17.762861257500003
40_0_6,asos,0,chrome,6,3045,970.1,970.1,17.188479093499996
40_0_7,asos,0,chrome,7,3199,1233.4,1233.4,18.573123893
40_0_8,asos,0,chrome,8,3023,1098.4,1098.4,16.8721495285
40_0_9,asos,0,chrome,9,3077,1055.8,1055.8,16.241880389
40_1_0,asos,0,firefox,0,4588,801.9,1262,25.942374656000005
40_1_1,asos,0,firefox,1,3473,1337.9,1311,15.3368124715
40_1_2,asos,0,firefox,2,3326,1665.6,1317,36.847250307
40_1_3,asos,0,firefox,3,3207,361.6,1296,22.978919964499998
40_1_4,asos,0,firefox,4,3375,550.1,1206,23.792236062
40_1_5,asos,0,firefox,5,4379,995.4,1284,12.633682064
40_1_6,asos,0,firefox,6,5666,905.3,1240,23.7911330085
40_1_7,asos,0,firefox,7,4548,728.5,1306,28.080375438
40_1_8,asos,0,firefox,8,6286,1874.6,2194,33.179337077
40_1_9,asos,0,firefox,9,3177,779.7,1171,20.6433078965
41_0_0,yale,0,chrome,0,1248,1106.4,1106.4,6.478074231
41_0_1,yale,0,chrome,1,1478,1306.1,1306.1,5.816914272499999
41_0_2,yale,0,chrome,2,1268,1122.5,1122.5,9.9889611225
41_0_3,yale,0,chrome,3,1284,1156.9,1156.9,4.8010390995
41_0_4,yale,0,chrome,4,1467,1291.4,1291.4,9.5947108565
41_0_5,yale,0,chrome,5,2358,1795.3,1795.3,5.087221469999999
41_0_6,yale,0,chrome,6,1420,1220.5,1220.5,2.0907002705
41_0_7,yale,0,chrome,7,1431,1297.4,1297.4,4.267383726500001
41_0_8,yale,0,chrome,8,1472,1310.3,1310.3,4.897023563000001
41_0_9,yale,0,chrome,9,1307,1148.7,1148.7,8.101990852499998
41_1_0,yale,0,firefox,0,1248,516,862,7.229953168
41_1_1,yale,0,firefox,1,2216,898.4,1829,9.861619461
41_1_2,yale,0,firefox,2,1266,1215.6,969,11.381117847
